"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1
0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169,0.168831168831169
3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455,3.54545454545455
1.56531672520818,1.53459387297694,1.47122471584125,2.06391382081236,1.6540649128528,1.18431305092758,1.96946385566932,1.7106744068954,1.8702501163843,1.68260774726875,1.37068883368468,1.68260774726875,1.56531672520818,1.62502081238753,1.53459387297694,1.29935048709411,1.92049777097285,1.26217019180204,1.53459387297694,2.01724169827616,1.47122471584125,1.43849368064794,1.8702501163843,1.10096376512636,1.81861466709122,1.37068883368468,1.29935048709411,1.84461307666334,1.7106744068954,1.56531672520818,1.53459387297694,1.10096376512636,1.68260774726875,1.43849368064794,1.53459387297694,1.81861466709122,1.94513490111863,1.7106744068954,1.47122471584125,1.8702501163843
0.144,0.193548387096774,0.172131147540984,0.145833333333333,0.2109375,0.105263157894737,0.171428571428571,0.161538461538462,0.198529411764706,0.13953488372093,0.126050420168067,0.255813953488372,0.096,0.118110236220472,0.193548387096774,0.153846153846154,0.195652173913043,0.129310344827586,0.145161290322581,0.169014084507042,0.122950819672131,0.173553719008264,0.220588235294118,0.214285714285714,0.17910447761194,0.176470588235294,0.153846153846154,0.311111111111111,0.230769230769231,0.168,0.0725806451612903,0.160714285714286,0.116279069767442,0.173553719008264,0.120967741935484,0.134328358208955,0.194244604316547,0.161538461538462,0.172131147540984,0.154411764705882
0.156666666666667,0.192517006802721,0.177857142857143,0.142554799697657,0.170175438596491,0.0772727272727273,0.263095238095238,0.159183673469388,0.262962962962963,0.146867167919799,0.155,0.300714285714286,0.0650793650793651,0.154385964912281,0.245,0.212554112554113,0.207407407407407,0.125396825396825,0.135087719298246,0.199470899470899,0.109259259259259,0.145,0.150714285714286,0.214285714285714,0.253258145363409,0.134920634920635,0.145804988662132,0.323809523809524,0.237037037037037,0.170476190476191,0.1,0.140909090909091,0.118095238095238,0.175438596491228,0.182034632034632,0.154308390022676,0.202380952380952,0.178095238095238,0.153333333333333,0.169047619047619
4.12121212121212,2.35064935064935,2.51948051948052,2.33766233766234,2.53679653679654,2.34632034632035,2.40692640692641,2.45454545454545,4.19047619047619,2.41558441558442,2.42857142857143,2.5021645021645,2.35064935064935,2.45454545454545,4.0995670995671,2.56277056277056,5.75757575757576,2.63203463203463,2.57142857142857,4.13852813852814,2.41125541125541,2.55844155844156,4.01731601731602,2.50649350649351,2.38095238095238,2.52380952380952,2.43290043290043,4.33766233766234,4.31601731601732,4.14285714285714,2.35497835497836,2.47186147186147,4.06493506493506,2.51515151515152,2.29004329004329,2.41125541125541,2.54978354978355,2.42424242424242,2.35930735930736,2.40692640692641
12.7272727272727,14.1818181818182,15.9545454545455,14.0454545454545,16.1363636363636,14.1363636363636,14.7727272727273,15.2727272727273,13.4545454545455,14.8636363636364,15,15.7727272727273,14.1818181818182,15.2727272727273,12.5,16.4090909090909,10.8181818181818,17.1363636363636,16.5,12.9090909090909,14.8181818181818,16.3636363636364,11.6363636363636,15.8181818181818,14.5,16,15.0454545454545,15,14.7727272727273,12.9545454545455,14.2272727272727,15.4545454545455,12.1363636363636,15.9090909090909,13.5454545454545,14.8181818181818,16.2727272727273,14.9545454545455,14.2727272727273,14.7727272727273
