"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,8,7,2,0.03,"ENTJ, INTP, ENFP, INFJ, ISFJ, ENFP, ENTJ, ENFJ, INTP, INFP, INTJ"
121,10,6,1,0.03,"INFP, INFP, ENTJ, INFJ, INTJ, ENTP, ESTJ, INTP, ENFJ, ESTP, ENTJ"
161,12,3,2,0.03,"ENFJ, ESFP, ISTJ, ISFP, INTJ, ENTP, ENFP, ENTJ, ESFJ, ENTJ, ISFJ"
201,13,2,2,0.04,"ISFJ, ISTP, ENFP, ESFP, ESFP, ENTJ, INTP, INFJ, ISFP, ENTP, ESFP"
321,15,1,1,0.04,"INFP, INTP, ESTP, INFJ, ESFP, ENFJ, INFP, ENTP, ISTJ, ENFP, ISFJ"
