"x"
"ENTP"
"INFP"
"INTJ"
"ESTP"
"INFP"
"ESTP"
"ENFJ"
"ENFP"
"ENTJ"
"ENTP"
"ENFP"
"INFJ"
"ESFJ"
"ENTJ"
"INTP"
"ENFP"
"ENTP"
"ENFP"
"INFJ"
"ISFP"
"ESFJ"
"INFP"
"INFJ"
"ESTJ"
"ENTP"
"INFP"
"ISTJ"
"INFP"
"ENTP"
"ENTP"
"INTP"
"INTJ"
"INFJ"
"ENFP"
"ENFP"
"INFP"
"ENTP"
"INFP"
"INFP"
"ISTP"
"INTJ"
"ENFP"
"INFJ"
"ENTP"
"ENFP"
"ENTJ"
"ESFP"
"ENTJ"
"INTP"
"ENFP"
"ENTP"
"INFP"
"ENFP"
"ENFP"
"ENTP"
"ENFP"
