"V1"
"ENFP"
"ISFP"
"ENTJ"
"ENTP"
"INTJ"
"ISFP"
"ENTJ"
"INFP"
"INFP"
"INFJ"
"INTP"
"ENFP"
"ENFJ"
"ESFJ"
"ENTP"
"ENFP"
"ENFP"
"ENTJ"
"ENFP"
"ENTP"
"ENFJ"
"ENTJ"
