"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,8,5,4,0.08,"ESTP, INFP, ISFJ, INFP, ESFJ, ENTJ, ISTJ, INFP, ENTJ, ENTP, INFJ, INTJ, ENFP, INTJ, ENTP, ENTP, ENFJ, ENFP, INFJ, INTP, ISFP, INFP, ESFJ, ESFP, INTJ, INTP, ISTJ, ESFP, ENTJ, ENFP, ENFP, INFJ, ESFP, ENFP"
201,10,3,4,0.17,"INFJ, ESTP, ISFP, ENTP, ISTP, ENTJ, INTP, ISTJ, INFJ, ISFJ, ENTP, INTP, ESTJ, ESFP, ESFP, ISFP, ESTJ, ENFJ, INFP, ENTJ, ENTJ, ESFP, INFP, INFP, ISFP, ENTJ, ENFJ, ENTJ, ESTP, ESFP, ESTJ, ENFP, ENTP, INTJ"
1521,11,4,2,1.23,"INFP, ESTP, ENFJ, INFP, ESFP, ENFJ, ESFP, ESTP, ENFP, ENFJ, INTP, ENFP, ISTJ, ESTP, ENTP, ESFP, INFJ, ISTP, ENTP, ENTJ, INTJ, ISFJ, ENFJ, ESFP, ESFJ, ESFP, INFP, ENFP, INFP, ISTJ, ESTJ, INFJ, ENFJ, ENFJ"
52121,12,3,2,41.48,"ISTJ, ESTJ, ISFP, ENFJ, ESFP, ISFP, INFP, INTJ, INTP, ESTJ, ESTJ, ESFP, ISFP, ESTP, INFP, ENTP, ISTJ, ISTJ, ENTP, INTP, INTP, ENFP, ENTJ, INFP, ESTP, ENFP, ESTP, ENFP, ESTJ, INTP, ENTJ, ENTJ, INTJ, ENFP"
452521,13,3,1,356.19,"ESTJ, ENTP, INTJ, INFP, ISFJ, INTJ, INFP, INFP, ENTP, INFP, INFP, ISFJ, ESFJ, INFJ, ISFJ, ISFP, ENFP, ESTP, ENTJ, INTJ, ISFP, INTP, INTP, ISFP, ESFJ, ENFP, INFP, ESTJ, ENFP, ENTP, ENTP, ENTJ, ESFP, INTP"
