"V1"
"ISFP"
"ESFJ"
"ENTP"
"INFP"
"INTP"
"INTJ"
"ISTJ"
"ISTJ"
"ISTJ"
"ISFP"
"INTP"
"ESFJ"
"ENTP"
"ISFP"
"INTP"
"INFP"
"INTJ"
"ENTP"
"ISFP"
"INFP"
"ISTP"
"INFP"
"ENTP"
"INFP"
