"genNum","score","similarity","evaluations","mateMethod","minutes","cohort"
"1","11","0.848484072075598","841","None","0.13","ESTJ, INTP, INTJ, ISTP, INFJ, INFJ, INFJ, ISFP, ENFP, INTJ, ISFP, ENFJ, INTJ, INFJ, ISTP"
"7","13","0.847352585656882","5161","CrissCross","0.63","ESFJ, ENTP, ENFJ, INTJ, INFP, ESTP, ESFP, ESFP, ESTJ, INTP, INTJ, ISTP, INFJ, INFJ, INFJ"
