"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,3,13,1,0.05,"INFJ, ESFJ, INTP, INFP, ENFJ, ESTJ, ENTJ, INFJ, ENTP, ENFJ, ENTP, ESFP, ENTP, ESFJ, INFJ"
161,4,12,1,0.06,"INFJ, INTP, ESTP, ESTP, INTP, INTJ, INFJ, INFJ, INTJ, ESTJ, INTP, INFJ, ISFP, ENTP, ESFJ"
201,5,10,2,0.07,"INFP, ENFJ, ISFJ, ESFJ, INTP, INTP, ENFP, ENTJ, INFJ, ENTJ, ESFP, INTP, ISTJ, ENFP, ISFP"
241,6,10,1,0.08,"ENFP, ENTP, ESTP, ENTP, ESFJ, ENTJ, INFP, ENFP, INFP, ENTJ, ENFP, ENFP, ISFJ, INFP, INFJ"
401,8,7,2,0.11,"ENTJ, ENFP, INTP, ENFJ, ENFP, INTJ, ESTP, ESFP, ISTP, INTP, INTP, INFJ, INFP, INTJ, ENTJ"
2641,9,7,1,0.58,"ENFP, ENFP, ENTJ, ISTP, ENFP, ESFP, ISTP, ESFP, ENTJ, ESFJ, ENFP, ENFP, ESFP, INTJ, ISFP"
43801,10,5,2,9.21,"INFP, ENFJ, ENFJ, INFP, ESFP, INFP, ESTP, INTJ, ISFJ, INTJ, ENTJ, ESFJ, ISFP, ENTJ, ESTJ"
5386961,11,5,1,1068.48,"ESTP, ESTJ, ISFP, ENFP, ENTP, INFJ, ISFJ, ENTP, ENTJ, INTP, ENTP, ENFP, ISTJ, ENTJ, ESFP"
