"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,8,5,4,0.09,"ENTJ, INFJ, ESTP, INTP, ENTJ, ENFP, ENFP, ESTJ, INFJ, ISFP, INTJ, ESFP, INFP, ENTP, INTP, ENFP, ESFJ, INTP, ESFP, ESTJ, ESTJ, INTP, ENTP, ISFJ, INFP, INTJ, ENFP, INFJ, ENTP, ESTJ, INTJ, ENFP, INFJ, ENFP, ENFP, ENFP, ENFP, INTP, ENFJ, ENTP, ISFP, ISFP, INFP, INTJ, INTJ, ENFJ, ESFP, ESTJ, INTP, ESFJ, ESFJ, ISFP, INFJ, ENTJ, ESTP, INFJ"
121,12,1,4,0.15,"ESTJ, ISFP, ISTP, INFP, ENTJ, ENFP, ENFP, INTP, INFJ, ISFJ, ISFJ, ISFP, ENTP, ENTP, ENTJ, ENFP, ENTP, ESTP, INTP, ESTJ, INFJ, INTJ, ISFJ, ESFJ, INFJ, ENFP, ISTJ, ESTJ, INFJ, ENFJ, ENTP, ISFP, INTP, INFP, INFP, ENFP, INFP, INTP, INTP, ESTP, INFJ, INFJ, INTP, INFP, ENTP, INTP, INTP, ESFP, ENTP, INTP, INTP, INTJ, ENTP, ENFP, ENTJ, ESFP"
1841,13,0,4,2.4,"ENTP, INFP, INTJ, ESTP, INFP, ESTP, ENFJ, ENFP, ENTJ, ENTP, ENFP, INFJ, ESFJ, ENTJ, INTP, ENFP, ENTP, ENFP, INFJ, ISFP, ESFJ, INFP, INFJ, ESTJ, ENTP, INFP, ISTJ, INFP, ENTP, ENTP, INTP, INTJ, INFJ, ENFP, ENFP, INFP, ENTP, INFP, INFP, ISTP, INTJ, ENFP, INFJ, ENTP, ENFP, ENTJ, ESFP, ENTJ, INTP, ENFP, ENTP, INFP, ENFP, ENFP, ENTP, ENFP"
