"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,10,6,1,0.04,"INFP, INTP, ENTP, INTP, INTP, ESFJ, ESFJ, INFP, ENTP, ENTJ, ENFP, ENFP, ISTP, ISFP, ISFP, INTP, ENTP, ENTJ, INTP, ENTP, ESTP, ENFJ, ENTJ, ENTP, ISFP, ENFJ, ENFP, ISFP, ENFJ, ENFP, ISFJ, ENFP, INFJ, ENFP"
121,11,4,2,0.05,"INFJ, ENTP, ESTJ, ESFP, INTP, INTP, ENFP, INTP, INTP, ENTP, ENTJ, ESTP, ENFJ, ESTP, INFP, ISTJ, INFP, ESFP, ESFJ, ESTP, ENTJ, INFJ, INFJ, INTJ, ENTJ, INTP, INFP, INFP, ENTJ, INFP, INFP, INFJ, ENTJ, ISFP"
161,12,3,2,0.06,"INTJ, INFJ, ENTP, INFJ, ENFP, ENFJ, INFP, ENFJ, ENTJ, ENFP, INFP, INTP, ISTJ, INTJ, ENTJ, INFP, INTP, ISFP, ESFJ, ENFJ, ENTP, ISFJ, INFP, ENTJ, ENFP, ISTP, ISTJ, INTJ, INTJ, ISFJ, ENTP, ENTP, ESTJ, ENTJ"
201,13,2,2,0.08,"ENFP, ESFJ, ENFP, ENTJ, INTJ, ENTP, ENFP, ENTJ, ENTJ, ENFP, INTP, ESFP, INTP, ESTP, ENTJ, INTJ, ESTJ, ESFJ, ENFP, ENFP, INTJ, INFJ, INTP, ENFP, INFJ, ENTJ, ENTJ, ESTP, ESTP, INFJ, ESTP, ENTJ, ENTP, INTJ"
521,16,0,1,0.15,"INFP, INTP, ESTP, ESFJ, ISTP, INFP, INTP, ENFP, ISFP, ENTJ, ENTP, ENFJ, INTJ, ENFJ, INFJ, INFP, INTP, INTP, ENTP, ENTP, ISTJ, INTP, ISFJ, ENTJ, ENTP, ENFP, ESFJ, ENTJ, ESFJ, ENFP, ESFJ, INTJ, ESTP, INTP"
