"x"
"ENFP"
"ENFJ"
"ESTJ"
"INTJ"
"ESTP"
"ISFP"
"INFJ"
"ESFP"
"ENFP"
"ENFP"
"ENFJ"
"ENFJ"
"INTP"
"ISFJ"
"INFP"
"ISFJ"
"INFP"
"ENTJ"
"ENFJ"
"INTJ"
"ESTP"
"ENTP"
"ENFP"
"ISFP"
"INTP"
"ENTP"
"ENTJ"
"ENFP"
"ISTP"
"ENTP"
"INFJ"
"ESTP"
"ISFP"
"ENFJ"
"ENTP"
"ESTP"
"INFP"
"ESFP"
"ISFP"
"INFP"
"INFJ"
"ENFJ"
"INTJ"
"ESTJ"
"INFJ"
"INFJ"
"INFP"
"ESFP"
"ESFJ"
"ESTP"
"INFP"
"ISTP"
"INTP"
"INFJ"
"ESFJ"
"INFJ"
