"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,5,8,4,0.09,"ENTP, ENFJ, ESFP, ISTJ, ENFJ, ENFP, ISFJ, INTP, ESFP, ESTP, INFJ, ESTP, ENFJ, INFJ, INFJ, ENTP, INTP, ENFP, ENTP, INFJ, ENFP, ESTP, ISFP, INFP, ENTJ, INTP, ENFJ, INFP, ENTP, ISFP, INTJ, ENFP, INFP, INFP, ENFJ, ESTP, ENTJ, ESFP, ISTJ, ENFJ"
121,7,6,4,0.13,"ESFJ, ENTP, ENFP, INTJ, ISFJ, ENFJ, ISFP, ESFP, INTJ, ISFP, ENFP, INFJ, ISFP, ENFP, ENFP, ENFP, INFP, INTP, ISFJ, ENFP, INFP, ENTP, INTP, ESFP, ISFP, ENFP, INTP, ESTJ, ENFJ, ENFP, ENTJ, ENFJ, ENFP, ENTP, ENFP, ENTJ, ISTP, ENTJ, ENTP, ENTJ"
281,9,4,4,0.3,"ENFP, ESTP, ENFJ, ENFP, ISFJ, ENTJ, INFJ, ESTP, INFP, INFP, INFP, INFJ, INFP, ISFP, ENFP, ISFJ, ENFJ, ISTP, ESFJ, ISTP, ESTP, ISTP, INTP, INTJ, ESFJ, ENFP, INFP, ISFJ, ISFJ, ENFJ, ISTJ, INTJ, ENTJ, ENFP, INTJ, ISFP, ISFP, INTP, ENTJ, ENTP"
6401,10,3,4,6.62,"INFJ, INFJ, INTJ, ENTP, ENFJ, ENFP, INFP, ISTP, ENTP, ENTJ, INTP, ENTJ, ENTP, ENFJ, ISTJ, INTJ, ESTJ, ESFP, ISTP, ESTP, ENTJ, INFJ, ENFJ, ISTP, INTP, ENTJ, ESFP, INTJ, ISFP, INFJ, ENTP, ISTP, INTP, ISTJ, INFP, ESFJ, INFP, ENTP, ESFP, ENTP"
47001,11,3,3,48.68,"ENTP, ISTP, INFJ, INFP, ENFJ, INFJ, ENFJ, ENTJ, ENFP, INFJ, ENFJ, INFP, ENFJ, ESTP, INFJ, ENFJ, ESTP, INTP, ENFP, INTP, INFJ, ENTP, ENTJ, ENTJ, INTJ, INFP, ISFJ, INTJ, INTP, ENTJ, ISFJ, ISFP, INFJ, ESTP, INTP, ISTP, ENTJ, ISTP, ENFJ, ENFP"
