"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,9,7,1,0.05,"INTJ, ENFP, INFP, ENFP, INFP, INFP, ISFJ, ESTJ, ESFJ, INTP, INTJ, INFJ, ESTJ, INFP"
121,10,6,1,0.06,"INTP, ESTP, ENFJ, ISTP, ENFP, ENTJ, INTJ, INFJ, ISFJ, ENFJ, ENFJ, INTJ, ESFJ, ISFJ"
161,11,5,1,0.06,"INFP, INTP, INFJ, ENTJ, ENFJ, ENTJ, ENFJ, INFJ, ISFP, ENTJ, INTJ, ESTJ, ISFP, ESTJ"
761,12,3,2,0.16,"INTP, INFP, INTP, INFP, ENFP, INTJ, INFP, ENTP, ISTP, ISTP, ESTP, ESFJ, ISFJ, ENTJ"
801,13,3,1,0.17,"INTP, INTP, ISFP, INTP, INFJ, ENTP, INFP, INTJ, ISTP, INFJ, ENFP, ENFJ, INFP, ESFP"
3241,14,2,1,0.57,"ENFJ, ENFJ, ENFJ, ENFP, ENTJ, INTP, ISTJ, ISFP, INFP, ESTP, ESFJ, ESFP, ENFP, ENTJ"
35801,15,0,2,5.87,"ESTJ, ISFP, ENTJ, ESTJ, ESFJ, ENTJ, ESTJ, INTP, INTJ, ENFP, ENTP, ENFJ, ENFJ, ENTP"
