"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,12,3,2,0.05,"INFP, ENFP, ESFP, ENFP, INTP, INFJ, INFP, INFP, INTP, ESFJ, ESFJ, ENFP, INFP, ESTP, ESTJ, INTJ, ESFJ, ENFP, ENTJ, ISFP, INFP, ESTJ"
641,13,3,1,0.17,"ISTP, ISFJ, INTP, INFP, INTP, INFP, ENTP, INFP, INFP, ENTJ, ESFP, ESFJ, ENFP, ISTJ, ENTP, ENFJ, INFJ, ESFP, INFP, INFP, ENFJ, INTP"
1481,14,2,1,0.35,"ISTP, INFP, ESFP, ESTJ, ISTJ, ENFP, ESTJ, ENTP, ISTJ, INTJ, ENFJ, ENFJ, ENFP, ESTP, INTJ, ENTJ, INFP, INTJ, ENTP, ENFP, ENTP, ENTP"
7521,15,0,2,1.7,"INFP, ENFP, ISFP, ISTP, ENTJ, INFP, ENFJ, INFP, ESFJ, ISTP, ESTP, ISFP, INFJ, ISTJ, ENFP, ISTP, ESTJ, ENFJ, INFP, ISTJ, ESFJ, INTP"
