"x"
"ESTJ"
"ISFP"
"ENTJ"
"ESTJ"
"ESFJ"
"ENTJ"
"ESTJ"
"INTP"
"INTJ"
"ENFP"
"ENTP"
"ENFJ"
"ENFJ"
"ENTP"
