"V1"
"ENTP"
"ENFJ"
"ENTP"
"ENTJ"
"ENFP"
"INTP"
"INTP"
"INFP"
"ENTJ"
"ENTP"
"INTP"
"ENFP"
"ESFJ"
"INTJ"
