"x"
"INFP"
"ENFP"
"ISFP"
"ISTP"
"ENTJ"
"INFP"
"ENFJ"
"INFP"
"ESFJ"
"ISTP"
"ESTP"
"ISFP"
"INFJ"
"ISTJ"
"ENFP"
"ISTP"
"ESTJ"
"ENFJ"
"INFP"
"ISTJ"
"ESFJ"
"INTP"
