"V1"
"INTP"
"INTP"
"ESFP"
"INFP"
"ENTP"
"ENTJ"
"ESFP"
"INTP"
"INTP"
"INTJ"
"ENTP"
"ESTP"
"ENTP"
"INFJ"
"ENTJ"
"ISTP"
"INTP"
"ENTP"
"ENTP"
"INTP"
"ENTJ"
"INTJ"
"INFP"
"ISTJ"
"ENFP"
"INTP"
"ENFP"
"INTP"
"ESTJ"
"INTP"
"ENFP"
"INTP"
"ENTJ"
"ENFP"
"INTP"
"INFJ"
"INTJ"
"INFP"
"INTP"
"ISTJ"
