"x"
"ESTP"
"INTP"
"ENFJ"
"ENFP"
"ISTP"
"ESFP"
"ENFJ"
"INTP"
"INFJ"
"ENFJ"
"INFJ"
"ENFJ"
"ESFP"
"INTP"
"ENFJ"
"ENFP"
"ISTJ"
"INTP"
"ENTP"
"INFP"
"INTP"
"INFP"
"INFJ"
"INFP"
