"x"
"ENTP"
"ISTP"
"INFJ"
"INFP"
"ENFJ"
"INFJ"
"ENFJ"
"ENTJ"
"ENFP"
"INFJ"
"ENFJ"
"INFP"
"ENFJ"
"ESTP"
"INFJ"
"ENFJ"
"ESTP"
"INTP"
"ENFP"
"INTP"
"INFJ"
"ENTP"
"ENTJ"
"ENTJ"
"INTJ"
"INFP"
"ISFJ"
"INTJ"
"INTP"
"ENTJ"
"ISFJ"
"ISFP"
"INFJ"
"ESTP"
"INTP"
"ISTP"
"ENTJ"
"ISTP"
"ENFJ"
"ENFP"
