"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,13,0,4,0.15,"INTJ, ISFP, ESFP, ESTJ, ENFJ, ISFP, ISTP, INTP, INFP, ESFJ, ENTJ, ESFP, INFJ, ISTP, INFJ, ENFJ, INTP, INTJ, ENTP, INTJ, ENTJ, ESFP, ENTJ, ISTP, ENFJ, ESTP, INFJ, INTJ, INFP, ESFJ, ESFP, ENFP, ENFJ, ENTP, ENFP, ISFJ, INTP, INFP, ISTP, ESFP, ENFJ, ENFP, INFJ, ENTP, ENFP, ISFP, INFP, INFP, ENTP, ESFP, INFJ, ENFP, INFP, ENFJ, INTJ, ISTP, INFP, INFJ, ENFP, ESFJ, INFJ, ISTP, INTP, ESFP, ENTP, ENTP, ENTP, ENTP, INTJ, ENTJ, ENTP"
201,14,0,3,0.46,"ISTP, ENTJ, ENTP, INTJ, INTP, INFP, ENFP, ENTJ, ENTJ, ESFP, INFP, ENFJ, INTJ, INTJ, INTP, INTP, ESTP, INFJ, ESFJ, ENTP, ESFP, INFJ, ENFP, ESFJ, ISTJ, ENTJ, INTP, ENTP, INFJ, ENTJ, INFP, ENFJ, ISTP, INTJ, INTJ, INTP, INFJ, ISFP, ISTJ, ESTP, ESFP, ISFJ, INTJ, INFJ, INTP, ENFP, ENTJ, INTP, ENFP, ISFJ, ESFJ, ENTP, ENFJ, ESTP, INTJ, ESTP, ENTJ, ENTP, ESFJ, ISFP, INFP, ISTP, ENTJ, ESFP, ESFJ, ENTP, INFP, INFP, ENTP, ENFJ, INFJ"
