"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,9,5,3,0.05,"ENTP, ENFP, ISTJ, ESTJ, ENTJ, ENFP, INFP, ISFP, ENTJ, INTP, INFP, INTP, ENFP, ENFJ, INTP, ENFP, INFJ, ESFJ, ESFJ, INFP, ESTP"
241,10,4,3,0.08,"ENTP, ENTP, ISFP, INFJ, ESFP, ENFP, ESFP, INTP, ESTJ, INFJ, ENTP, INTP, ENFP, ISFP, ENFJ, ENTJ, INFP, INFP, ENTP, ENTP, INFP"
361,11,3,3,0.1,"ENFJ, INFJ, ESTP, INTJ, INFP, INFP, ENFJ, INFJ, ENFJ, ESFP, ESTJ, INTJ, ENTJ, ENTP, ISFJ, ENFP, INFP, ENFJ, ENTJ, ESTJ, ISTP"
561,12,2,3,0.14,"ISFJ, ESTP, ENTJ, ENFP, ESTJ, ESTP, ISTJ, ESTP, INFJ, INTJ, ISTP, ENFP, ENFJ, ESFP, INFP, ESTJ, INFJ, ENTJ, INTP, ENTP, ENFP"
5281,13,1,3,0.94,"ESFP, ESFJ, INTJ, ENTP, ENFJ, ENTJ, INFJ, INFP, ISFP, ESTP, ESFP, ENTJ, ISTP, ENFP, ESTP, ESFP, ENFJ, INFP, INTJ, INFP, ESTP"
299281,14,0,3,34.89,"ISFP, ESFJ, ENFJ, ESTP, INFJ, ENFP, ENFJ, ENTP, ENFP, INTJ, INTP, INFP, INTP, ENTP, INFJ, ISFP, ENTJ, INFP, INFJ, ENFJ, INFJ"
