"genNum","score","similarity","evaluations","mateMethod","minutes","cohort"
"1","12","0.91655197974407","841","None","0.23","ENTP, INFP, ENTP, ENFP, ENTJ, ENFP, ISFP, INFJ, ENFJ, INTJ, ENFP, ENFP, INFP, ESTP, INFP, ISTP, ENFJ, ENTP"
"2","14","0.904961913654919","1561","CrissCross","0.39","ENTP, ENFP, ENTP, ENTJ, ENTJ, ENFP, ENFJ, INFJ, ENTP, INTJ, ENFP, ENFP, INFP, ESTP, INFP, ENFP, ENFJ, ENTP"
"207","15","0.937625384893771","149161","Alternate","36.49","ENTP, INFP, ENTP, ENFP, ENTJ, ISTP, ENFJ, INTJ, ENTP, ISFP, ENFP, ENFP, INFP, ESTP, INFP, ISTP, ENFJ, ENTP"
