"Evaluations","Wins","Losses","Draws","Minutes","Assignment"
81,10,6,1,0.05,"ESTP, ESTJ, INTJ, ENTP, INFP, ENTJ, ESTJ, INFJ, ENFJ, ESTJ, ESFJ, INFP, ENTJ, ESTP, ENTP, ESFP, ENFP, INFP"
641,12,4,1,0.17,"ISFJ, INTP, ISTJ, INTJ, ESFP, INTJ, ENFJ, ENFP, ESFP, ESFJ, ENFJ, INTP, INFP, INFP, INTJ, ESTP, ISFP, ENFJ"
1041,13,3,1,0.26,"INTP, ESFJ, ISTJ, ENFJ, INTJ, INTJ, ENTJ, INFJ, INFP, ENFJ, INFJ, INTP, INTP, ENTP, ESTJ, ESTP, ESFP, ENFP"
28761,14,2,1,6.27,"INTJ, ENTJ, ENFP, ESFP, ENFJ, INFP, ENTJ, ENTJ, INTP, ENTP, INFP, ENFJ, ISFP, ISFP, ENFP, ESTJ, ESFP, INFP"
